punkt_id;kartleggingsenhet
ID0008_22;NA
ID0003_35;V1-C-5
ID0003_24;T4-C-5
ID0003_44;V1-C-1
ID0003_64;V1-C-1
ID0003_55;V1-C-1
ID0003_15;V1-C-1
ID0003_51;V1-C-1
ID0003_31;V3-C-1
ID0003_11;T4-C-5
ID0003_13;T4-C-5
ID0003_33;V1-C-5
ID0003_46;T2-C-1
ID0003_66;V1-C-5
ID0003_53;T4-C-9
ID0003_26;T4-C-5
ID0003_62;T4-C-5
ID0003_42;T4-C-5
ID0003_22;V1-C-1
ID0006_13;V3-C-2
ID0006_15;V3-C-2
ID0006_24;V3-C-2
ID0006_35;T4-C-9
ID0006_55;T4-C-5
ID0006_64;T4-C-1
ID0006_62;T2-C-1
ID0006_53;T4-C-4
ID0006_42;T4-C-5
ID0006_44;V3-C-2
ID0006_33;T4-C-5
ID0006_22;T4-C-5
ID0006_11;V1-C-6
ID0006_26;T4-C-5
ID0006_31;T4-C-5
ID0006_46;T4-C-5
ID0006_51;V1-C-5
ID0006_66;V2-C-1
ID0007_62;T
ID0007_66;T
ID0007_13;T
ID0007_31;T4-C-1
ID0007_11;T4-C-9
ID0007_22;T1-C-9
ID0007_33;T4-C-1
ID0007_44;T4-C-1
ID0007_55;T1-C-1
ID0007_46;T1-C-1
ID0007_35;T1-C-2
ID0007_26;T4-C-5
ID0007_15;T
ID0007_24;T4-C-5
ID0007_42;V10-C-1
ID0007_51;T40-C-1
ID0007_64;T
ID0007_53;T4-C-5
ID0010_62;T3-C-4
ID0010_53;V1-C-6
ID0010_42;V1-C-5
ID0010_31;V1-C-6
ID0010_11;T4-C-18
ID0010_22;T13-C-1
ID0010_33;T4-C-2
ID0010_66;T3-C-5
ID0010_64;T3-C-5
ID0010_55;T3-C-5
ID0010_44;T3-C-4
ID0010_51;T3-C-5
ID0010_13;T3-C-5
ID0010_24;ikke_kartlagt
ID0010_35;T14-C-1
ID0010_46;T3-C-4
ID0010_26;T14-C-1
ID0010_15;T14-C-1
ID0016_55;V1-C-6
ID0016_66;V1-C-5
ID0016_35;T34-C-2
ID0016_26;T4-C-1
ID0016_51;V1-C-6
ID0016_31;V1-C-5
ID0016_44;T4-C-1
ID0016_53;V1-C-6
ID0016_64;V1-C-6
ID0016_62;V1-C-6
ID0016_42;T4-C-1
ID0016_22;T4-C-1
ID0016_11;T34-C-2
ID0016_33;ikke_kartlagt
ID0016_15;T34-C-2
ID0016_24;T34-C-2
ID0016_13;T4-C-1
ID0016_46;T4-C-1
ID0019_11;T45-C-3
ID0019_13;T32-C-4
ID0019_15;T4-C-1
ID0019_22;T45-C-3
ID0019_24;T4-C-17
ID0019_26;T4-C-1
ID0019_31;T4-C-2
ID0019_33;T4-C-2
ID0019_35;T4-C-1
ID0019_42;T4-C-2
ID0019_44;T4-C-2
ID0019_46;T4-C-1
ID0019_51;T44-C-1
ID0019_53;T4-C-2
ID0019_55;T4-C-1
ID0019_62;T43-C-1
ID0019_64;T4-C-2
ID0019_66;T4-C-1
ID0020_13;V1-C-5
ID0020_46;T31-C-1
ID0020_55;T31-C-2
ID0020_66;T31-C-2
ID0020_64;T31-C-2
ID0020_53;T31-C-2
