Klasse;Navn;Kortkode;Langkode
Type;Bremassiv;A-LV-BM;NIN-3.0-T-A-LV-BM
Type;Elveløp;A-LV-EL;NIN-3.0-T-A-LV-EL
Type;Landformer i fast fjell og løsmasser;A-LV-FL;NIN-3.0-T-A-LV-FL
Type;Innsjøbasseng;A-LV-IB;NIN-3.0-T-A-LV-IB
Type;Torvmarksmassiv;A-LV-TM;NIN-3.0-T-A-LV-TM
Type;Marine vannmasser;A-MV-0;NIN-3.0-T-A-MV-0
Type;Livsmedium;C-LI-0;NIN-3.0-T-C-LI-0
Type;Landskapstype;C-PE-LA;NIN-3.0-T-C-PE-LA
Type;Natursystem;C-PE-NA;NIN-3.0-T-C-PE-NA
Type;Naturkompleks;C-SE-NK;NIN-3.0-T-C-SE-NK
Hovedtypegruppe;Bremassiv;BM-A;NIN-3.0-T-A-LV-BM-0-BM-A
Hovedtypegruppe;Elveløp i fast fjell;EL-A;NIN-3.0-T-A-LV-EL-0-EL-A
Hovedtypegruppe;Elveløp preget av fluviale prosesser;EL-B;NIN-3.0-T-A-LV-EL-0-EL-B
Hovedtypegruppe;Elveløp preget av glasiale og fluviale prosesser;EL-C;NIN-3.0-T-A-LV-EL-0-EL-C
Hovedtypegruppe;Elveløp i og gjennom kohesive sedimenter;EL-D;NIN-3.0-T-A-LV-EL-0-EL-D
Hovedtypegruppe;Kompleks elvemunning;EL-E;NIN-3.0-T-A-LV-EL-0-EL-E
Hovedtypegruppe;Elveløp med klart endret hydromorfologi;EL-F;NIN-3.0-T-A-LV-EL-0-EL-F
Hovedtypegruppe;Kunstige elveløp og elveløp med sterkt endret hydromorfologi;EL-G;NIN-3.0-T-A-LV-EL-0-EL-G
Hovedtypegruppe;Breelvlandformer;FL-A;NIN-3.0-T-A-LV-FL-0-FL-A
Hovedtypegruppe;Biogene landformer;FL-B;NIN-3.0-T-A-LV-FL-0-FL-B
Hovedtypegruppe;Bresjølandformer;FL-C;NIN-3.0-T-A-LV-FL-0-FL-C
Hovedtypegruppe;Elvelandformer;FL-D;NIN-3.0-T-A-LV-FL-0-FL-D
Hovedtypegruppe;Forkastnings- og oppsprekkingslandformer;FL-E;NIN-3.0-T-A-LV-FL-0-FL-E
Hovedtypegruppe;Frostlandformer;FL-F;NIN-3.0-T-A-LV-FL-0-FL-F
Hovedtypegruppe;Forvitringslandformer;FL-G;NIN-3.0-T-A-LV-FL-0-FL-G
Hovedtypegruppe;Glasiale landformer;FL-H;NIN-3.0-T-A-LV-FL-0-FL-H
Hovedtypegruppe;Kystlandformer;FL-I;NIN-3.0-T-A-LV-FL-0-FL-I
Hovedtypegruppe;Lagdelingsformer i berggrunn;FL-J;NIN-3.0-T-A-LV-FL-0-FL-J
Hovedtypegruppe;Skyve-foldebeltelandformer;FL-K;NIN-3.0-T-A-LV-FL-0-FL-K
Hovedtypegruppe;Skredlandformer;FL-L;NIN-3.0-T-A-LV-FL-0-FL-L
Hovedtypegruppe;Havstrømlandformer;FL-M;NIN-3.0-T-A-LV-FL-0-FL-M
Hovedtypegruppe;Utstrømningslandformer;FL-N;NIN-3.0-T-A-LV-FL-0-FL-N
Hovedtypegruppe;Vindlandformer;FL-O;NIN-3.0-T-A-LV-FL-0-FL-O
Hovedtypegruppe;Vulkanske landformer;FL-P;NIN-3.0-T-A-LV-FL-0-FL-P
Hovedtypegruppe;Basseng formet av jordas indre prosesser;IB-A;NIN-3.0-T-A-LV-IB-0-IB-A
Hovedtypegruppe;Massetransport-basseng;IB-B;NIN-3.0-T-A-LV-IB-0-IB-B
Hovedtypegruppe;Bredemt basseng;IB-C;NIN-3.0-T-A-LV-IB-0-IB-C
Hovedtypegruppe;Breerosjonsbasseng;IB-D;NIN-3.0-T-A-LV-IB-0-IB-D
Hovedtypegruppe;Bre- og breelvsedimentasjonsbasseng;IB-E;NIN-3.0-T-A-LV-IB-0-IB-E
Hovedtypegruppe;Frostprosess-basseng;IB-F;NIN-3.0-T-A-LV-IB-0-IB-F
Hovedtypegruppe;Basseng formet av kjemiske oppløsningsprosesser;IB-G;NIN-3.0-T-A-LV-IB-0-IB-G
Hovedtypegruppe;Elveerosjonsbasseng;IB-H;NIN-3.0-T-A-LV-IB-0-IB-H
Hovedtypegruppe;Elvesediment-basseng;IB-I;NIN-3.0-T-A-LV-IB-0-IB-I
Hovedtypegruppe;Vinderosjonsbasseng;IB-J;NIN-3.0-T-A-LV-IB-0-IB-J
Hovedtypegruppe;Basseng formet av kystprosesser;IB-K;NIN-3.0-T-A-LV-IB-0-IB-K
Hovedtypegruppe;Basseng i torv;IB-L;NIN-3.0-T-A-LV-IB-0-IB-L
Hovedtypegruppe;Basseng formet av dyrs aktiviteter;IB-M;NIN-3.0-T-A-LV-IB-0-IB-M
